DateRange,INVertor Power (MW),SoC
07.10.2024 18:15 - 07.10.2024 18:30,-23.75,37.5
07.10.2024 18:30 - 07.10.2024 18:45,-23.75,31.25
07.10.2024 18:45 - 07.10.2024 19:00,-23.75,25
07.10.2024 19:00 - 07.10.2024 19:15,0,25
07.10.2024 19:15 - 07.10.2024 19:30,0,25
07.10.2024 19:30 - 07.10.2024 19:45,0,25
07.10.2024 19:45 - 07.10.2024 20:00,0,25
07.10.2024 20:00 - 07.10.2024 20:15,-23.75,18.75
07.10.2024 20:15 - 07.10.2024 20:30,-23.75,12.5
07.10.2024 20:30 - 07.10.2024 20:45,-23.75,6.25
07.10.2024 20:45 - 07.10.2024 21:00,-23.75,0
07.10.2024 21:00 - 07.10.2024 21:15,0,0
07.10.2024 21:15 - 07.10.2024 21:30,0,0
07.10.2024 21:30 - 07.10.2024 21:45,0,0
07.10.2024 21:45 - 07.10.2024 22:00,0,0
07.10.2024 22:00 - 07.10.2024 22:15,0,0
07.10.2024 22:15 - 07.10.2024 22:30,0,0
07.10.2024 22:30 - 07.10.2024 22:45,0,0
07.10.2024 22:45 - 07.10.2024 23:00,0,0
07.10.2024 23:00 - 07.10.2024 23:15,0,0
07.10.2024 23:15 - 07.10.2024 23:30,0,0
07.10.2024 23:30 - 07.10.2024 23:45,0,0
07.10.2024 23:45 - 08.10.2024 00:00,0,23.75
08.10.2024 00:00 - 08.10.2024 00:15,25,29.69
08.10.2024 00:15 - 08.10.2024 00:30,25,35.62
08.10.2024 00:30 - 08.10.2024 00:45,25,41.56
08.10.2024 00:45 - 08.10.2024 01:00,25,47.5
08.10.2024 01:00 - 08.10.2024 01:15,0,47.5
08.10.2024 01:15 - 08.10.2024 01:30,0,47.5
08.10.2024 01:30 - 08.10.2024 01:45,0,47.5
08.10.2024 01:45 - 08.10.2024 02:00,0,47.5
08.10.2024 02:00 - 08.10.2024 02:15,25,53.44
08.10.2024 02:15 - 08.10.2024 02:30,25,59.37
08.10.2024 02:30 - 08.10.2024 02:45,25,65.31
08.10.2024 02:45 - 08.10.2024 03:00,25,71.25
08.10.2024 03:00 - 08.10.2024 03:15,3.95,72.19
08.10.2024 03:15 - 08.10.2024 03:30,3.95,73.12
08.10.2024 03:30 - 08.10.2024 03:45,3.95,74.06
08.10.2024 03:45 - 08.10.2024 04:00,3.95,75
08.10.2024 04:00 - 08.10.2024 04:15,0,75
08.10.2024 04:15 - 08.10.2024 04:30,0,75
08.10.2024 04:30 - 08.10.2024 04:45,0,75
08.10.2024 04:45 - 08.10.2024 05:00,0,75
08.10.2024 05:00 - 08.10.2024 05:15,-23.75,68.75
08.10.2024 05:15 - 08.10.2024 05:30,-23.75,62.5
08.10.2024 05:30 - 08.10.2024 05:45,-23.75,56.25
