DateRange,INVertor Power (MW),SoC
03.01.2024 13:45 - 03.01.2024 14:00,0.00,75.00
03.01.2024 14:00 - 03.01.2024 14:15,0.00,75.00
03.01.2024 14:15 - 03.01.2024 14:30,0.00,75.00
03.01.2024 14:30 - 03.01.2024 14:45,0.00,75.00
03.01.2024 14:45 - 03.01.2024 15:00,0.00,75.00
03.01.2024 15:00 - 03.01.2024 15:15,0.00,75.00
03.01.2024 15:15 - 03.01.2024 15:30,0.00,75.00
03.01.2024 15:30 - 03.01.2024 15:45,0.00,75.00
03.01.2024 15:45 - 03.01.2024 16:00,0.00,75.00
03.01.2024 16:00 - 03.01.2024 16:15,0.00,75.00
03.01.2024 16:15 - 03.01.2024 16:30,0.00,75.00
03.01.2024 16:30 - 03.01.2024 16:45,0.00,75.00
03.01.2024 16:45 - 03.01.2024 17:00,0.00,75.00
03.01.2024 17:00 - 03.01.2024 17:15,0.00,75.00
03.01.2024 17:15 - 03.01.2024 17:30,0.00,75.00
03.01.2024 17:30 - 03.01.2024 17:45,0.00,75.00
03.01.2024 17:45 - 03.01.2024 18:00,0.00,75.00
03.01.2024 18:00 - 03.01.2024 18:15,0.00,75.00
03.01.2024 18:15 - 03.01.2024 18:30,0.00,75.00
03.01.2024 18:30 - 03.01.2024 18:45,0.00,75.00
03.01.2024 18:45 - 03.01.2024 19:00,0.00,75.00
03.01.2024 19:00 - 03.01.2024 19:15,0.00,75.00
03.01.2024 19:15 - 03.01.2024 19:30,0.00,75.00
03.01.2024 19:30 - 03.01.2024 19:45,0.00,75.00
03.01.2024 19:45 - 03.01.2024 20:00,0.00,75.00
03.01.2024 20:00 - 03.01.2024 20:15,0.00,75.00
03.01.2024 20:15 - 03.01.2024 20:30,0.00,75.00
03.01.2024 20:30 - 03.01.2024 20:45,0.00,75.00
03.01.2024 20:45 - 03.01.2024 21:00,0.00,75.00
03.01.2024 21:00 - 03.01.2024 21:15,0.00,75.00
03.01.2024 21:15 - 03.01.2024 21:30,0.00,75.00
03.01.2024 21:30 - 03.01.2024 21:45,0.00,75.00
03.01.2024 21:45 - 03.01.2024 22:00,0.00,75.00
03.01.2024 22:00 - 03.01.2024 22:15,0.00,75.00
03.01.2024 22:15 - 03.01.2024 22:30,0.00,75.00
03.01.2024 22:30 - 03.01.2024 22:45,0.00,75.00
03.01.2024 22:45 - 03.01.2024 23:00,0.00,75.00
03.01.2024 23:00 - 03.01.2024 23:15,0.00,75.00
03.01.2024 23:15 - 03.01.2024 23:30,0.00,75.00
03.01.2024 23:30 - 03.01.2024 23:45,0.00,75.00
03.01.2024 23:45 - 04.01.2024 00:00,0.00,75.00
04.01.2024 00:00 - 04.01.2024 00:15,0.00,75.00
